139,[0.5064489  0.81751865 0.5618603  0.485646   0.62092215]
139,[0.49569026 0.53530097 0.52259696 0.5086416  0.5301179 ]
142,[0.5008208  0.54289097 0.52158374 0.5139343  0.525425  ]
142,[0.6260101  0.9337769  0.75995785 0.783505   0.31432635]
142,ランダムで動きました
143,[0.4993234  0.53721946 0.50720453 0.5155456  0.5133581 ]
143,ランダムで動きました
143,ランダムで動きました
144,[0.4993234  0.53721946 0.50720453 0.5155456  0.5133581 ]
144,[0.42518958 0.8545014  0.49786192 0.547461   0.6479418 ]
144,ランダムで動きました
145,ランダムで動きました
145,ランダムで動きました
145,[0.4942626  0.5318622  0.5217981  0.5065042  0.52779466]
147,ランダムで動きました
147,ランダムで動きました
147,[0.49682418 0.5151787  0.51068574 0.5027857  0.5134417 ]
148,ランダムで動きました
148,[0.3207583  0.8415199  0.49841172 0.5217802  0.41400474]
148,ランダムで動きました
149,ランダムで動きました
149,[0.52420104 0.8965591  0.5175267  0.684773   0.49415794]
149,ランダムで動きました
151,[0.49906084 0.5389293  0.5210715  0.51176673 0.52221626]
151,[0.5770361  0.92741174 0.5804518  0.76705545 0.52412194]
151,[0.4964967  0.51424664 0.510414   0.50212425 0.51271147]
153,ランダムで動きました
153,ランダムで動きました
153,[0.49616605 0.5133148  0.5101481  0.50146395 0.5119765 ]
154,ランダムで動きました
154,ランダムで動きました
154,[0.49305958 0.5286284  0.5209534  0.50427973 0.525334  ]
155,[0.4981749 0.5369444 0.5208402 0.5106748 0.5206009]
155,[0.59598535 0.9193762  0.5530911  0.7131062  0.5644794 ]
155,ランダムで動きました
158,[0.49732065 0.5349682  0.5205922  0.50957865 0.5189922 ]
158,ランダムで動きました
158,ランダムで動きました
159,ランダムで動きました
